idx,Date,Temperature,Stopped (LGR S/N: 20782708),End Of File (LGR S/N: 20782708)
429,11/22/2022 19:11,23.93,,
430,11/22/2022 19:11,23.88,,
431,11/22/2022 19:11,23.85,,
432,11/22/2022 19:11,23.83,,
433,11/22/2022 19:12,23.89,,
434,11/22/2022 19:12,23.84,,
435,11/22/2022 19:12,23.88,,
436,11/22/2022 19:12,23.82,,
437,11/22/2022 19:12,23.85,,
438,11/22/2022 19:12,23.89,,
439,11/22/2022 19:13,23.85,,
440,11/22/2022 19:13,23.85,,
441,11/22/2022 19:13,23.86,,
442,11/22/2022 19:13,23.91,,
443,11/22/2022 19:13,23.83,,
444,11/22/2022 19:13,23.85,,
445,11/22/2022 19:14,23.89,,
446,11/22/2022 19:14,23.89,,
447,11/22/2022 19:14,23.92,,
448,11/22/2022 19:14,23.87,,
449,11/22/2022 19:14,23.86,,
450,11/22/2022 19:14,23.89,,
451,11/22/2022 19:15,23.88,,
452,11/22/2022 19:15,23.92,,
453,11/22/2022 19:15,23.89,,
454,11/22/2022 19:15,23.87,,
455,11/22/2022 19:15,23.91,,
456,11/22/2022 19:15,23.85,,
457,11/22/2022 19:16,23.88,,
458,11/22/2022 19:16,23.91,,
459,11/22/2022 19:16,23.85,,
460,11/22/2022 19:16,23.89,,
461,11/22/2022 19:16,23.93,,
462,11/22/2022 19:16,23.9,,
463,11/22/2022 19:17,23.93,,
464,11/22/2022 19:17,23.89,,
465,11/22/2022 19:17,23.85,,
466,11/22/2022 19:17,23.91,,
467,11/22/2022 19:17,23.9,,
468,11/22/2022 19:17,23.92,,
469,11/22/2022 19:18,23.91,,
470,11/22/2022 19:18,23.92,,
471,11/22/2022 19:18,23.92,,
472,11/22/2022 19:18,23.88,,
473,11/22/2022 19:18,23.9,,
474,11/22/2022 19:18,23.9,,
475,11/22/2022 19:19,23.83,,
476,11/22/2022 19:19,23.86,,
477,11/22/2022 19:19,23.89,,
478,11/22/2022 19:19,23.9,,
479,11/22/2022 19:19,23.87,,
480,11/22/2022 19:19,23.9,,
481,11/22/2022 19:20,23.91,,
482,11/22/2022 19:20,23.91,,
483,11/22/2022 19:20,23.9,,
484,11/22/2022 19:20,23.85,,
485,11/22/2022 19:20,23.83,,
486,11/22/2022 19:20,23.88,,
487,11/22/2022 19:21,23.89,,
488,11/22/2022 19:21,23.86,,
489,11/22/2022 19:21,23.87,,
490,11/22/2022 19:21,23.85,,
491,11/22/2022 19:21,23.89,,
492,11/22/2022 19:21,23.85,,
493,11/22/2022 19:22,23.91,,
494,11/22/2022 19:22,23.94,,
495,11/22/2022 19:22,23.89,,
496,11/22/2022 19:22,23.94,,
497,11/22/2022 19:22,23.91,,
498,11/22/2022 19:22,23.89,,
499,11/22/2022 19:23,23.89,,
500,11/22/2022 19:23,23.88,,
501,11/22/2022 19:23,23.87,,
502,11/22/2022 19:23,23.88,,
503,11/22/2022 19:23,23.9,,
504,11/22/2022 19:23,23.93,,
505,11/22/2022 19:24,23.88,,
506,11/22/2022 19:24,23.91,,
507,11/22/2022 19:24,23.94,,
508,11/22/2022 19:24,23.85,,
509,11/22/2022 19:24,23.85,,
510,11/22/2022 19:24,23.82,,
511,11/22/2022 19:25,23.89,,
512,11/22/2022 19:25,23.91,,
513,11/22/2022 19:25,23.88,,
514,11/22/2022 19:25,23.86,,
515,11/22/2022 19:25,23.91,,
516,11/22/2022 19:25,23.87,,
517,11/22/2022 19:26,23.89,,
518,11/22/2022 19:26,23.85,,
519,11/22/2022 19:26,23.83,,
520,11/22/2022 19:26,23.84,,
521,11/22/2022 19:26,23.9,,
522,11/22/2022 19:26,23.86,,
523,11/22/2022 19:27,23.77,,
524,11/22/2022 19:27,23.85,,
525,11/22/2022 19:27,23.86,,
526,11/22/2022 19:27,23.87,,
527,11/22/2022 19:27,23.83,,
528,11/22/2022 19:27,23.86,,
529,11/22/2022 19:28,23.82,,
530,11/22/2022 19:28,23.88,,
531,11/22/2022 19:28,23.86,,
532,11/22/2022 19:28,23.88,,
533,11/22/2022 19:28,23.86,,
534,11/22/2022 19:28,23.84,,
535,11/22/2022 19:29,23.83,,
536,11/22/2022 19:29,23.84,,
537,11/22/2022 19:29,23.88,,
538,11/22/2022 19:29,23.91,,
539,11/22/2022 19:29,23.88,,
540,11/22/2022 19:29,23.87,,
541,11/22/2022 19:30,23.91,,
542,11/22/2022 19:30,23.86,,
543,11/22/2022 19:30,23.95,,
544,11/22/2022 19:30,23.87,,
545,11/22/2022 19:30,23.9,,
546,11/22/2022 19:30,23.9,,
547,11/22/2022 19:31,23.84,,
548,11/22/2022 19:31,23.89,,
549,11/22/2022 19:31,23.93,,
550,11/22/2022 19:31,23.84,,
551,11/22/2022 19:31,23.91,,
552,11/22/2022 19:31,23.86,,
553,11/22/2022 19:32,23.84,,
554,11/22/2022 19:32,23.83,,
555,11/22/2022 19:32,23.85,,
556,11/22/2022 19:32,23.86,,
557,11/22/2022 19:32,23.85,,
558,11/22/2022 19:32,23.86,,
559,11/22/2022 19:33,23.88,,
560,11/22/2022 19:33,23.91,,
561,11/22/2022 19:33,23.93,,
562,11/22/2022 19:33,23.87,,
563,11/22/2022 19:33,23.9,,
564,11/22/2022 19:33,23.9,,
565,11/22/2022 19:34,23.88,,
566,11/22/2022 19:34,23.92,,
567,11/22/2022 19:34,23.84,,
568,11/22/2022 19:34,23.75,,
569,11/22/2022 19:34,23.79,,
570,11/22/2022 19:34,23.8,,
571,11/22/2022 19:35,23.9,,
572,11/22/2022 19:35,23.88,,
573,11/22/2022 19:35,23.86,,
574,11/22/2022 19:35,23.86,,
575,11/22/2022 19:35,23.85,,
576,11/22/2022 19:35,23.88,,
577,11/22/2022 19:36,23.93,,
578,11/22/2022 19:36,23.92,,
579,11/22/2022 19:36,23.88,,
580,11/22/2022 19:36,23.88,,
581,11/22/2022 19:36,23.86,,
582,11/22/2022 19:36,23.86,,
583,11/22/2022 19:37,23.84,,
584,11/22/2022 19:37,23.85,,
585,11/22/2022 19:37,23.87,,
586,11/22/2022 19:37,23.88,,
587,11/22/2022 19:37,23.81,,
588,11/22/2022 19:37,23.84,,
589,11/22/2022 19:38,23.86,,
590,11/22/2022 19:38,23.84,,
591,11/22/2022 19:38,23.85,,
592,11/22/2022 19:38,23.83,,
593,11/22/2022 19:38,23.84,,
594,11/22/2022 19:38,23.9,,
595,11/22/2022 19:39,23.84,,
596,11/22/2022 19:39,23.85,,
597,11/22/2022 19:39,23.82,,
598,11/22/2022 19:39,23.79,,
599,11/22/2022 19:39,23.84,,
600,11/22/2022 19:39,23.82,,
601,11/22/2022 19:40,23.81,,
602,11/22/2022 19:40,23.84,,
603,11/22/2022 19:40,23.86,,
604,11/22/2022 19:40,23.86,,
605,11/22/2022 19:40,23.85,,
606,11/22/2022 19:40,23.91,,
607,11/22/2022 19:41,23.9,,
608,11/22/2022 19:41,23.89,,
609,11/22/2022 19:41,23.91,,
610,11/22/2022 19:41,23.94,,
611,11/22/2022 19:41,23.89,,
612,11/22/2022 19:41,23.85,,
613,11/22/2022 19:42,23.89,,
614,11/22/2022 19:42,23.9,,
615,11/22/2022 19:42,23.88,,
616,11/22/2022 19:42,23.86,,
617,11/22/2022 19:42,23.9,,
618,11/22/2022 19:42,23.8,,
619,11/22/2022 19:43,23.85,,
620,11/22/2022 19:43,23.89,,
621,11/22/2022 19:43,23.89,,
622,11/22/2022 19:43,23.86,,
623,11/22/2022 19:43,23.92,,
624,11/22/2022 19:43,23.86,,
625,11/22/2022 19:44,23.9,,
626,11/22/2022 19:44,23.92,,
627,11/22/2022 19:44,23.92,,
628,11/22/2022 19:44,23.92,,
629,11/22/2022 19:44,23.83,,
630,11/22/2022 19:44,23.84,,
631,11/22/2022 19:45,23.83,,
632,11/22/2022 19:45,23.86,,
633,11/22/2022 19:45,23.87,,
634,11/22/2022 19:45,23.85,,
635,11/22/2022 19:45,23.88,,
636,11/22/2022 19:45,23.92,,
637,11/22/2022 19:46,23.89,,
638,11/22/2022 19:46,23.89,,
639,11/22/2022 19:46,23.89,,
640,11/22/2022 19:46,23.83,,
641,11/22/2022 19:46,23.86,,
642,11/22/2022 19:46,23.82,,
643,11/22/2022 19:47,23.88,,
644,11/22/2022 19:47,23.85,,
645,11/22/2022 19:47,23.83,,
646,11/22/2022 19:47,23.87,,
647,11/22/2022 19:47,23.85,,
648,11/22/2022 19:47,23.93,,
649,11/22/2022 19:48,23.87,,
650,11/22/2022 19:48,23.89,,
651,11/22/2022 19:48,23.9,,
652,11/22/2022 19:48,23.88,,
653,11/22/2022 19:48,23.9,,
654,11/22/2022 19:48,23.92,,
655,11/22/2022 19:49,23.91,,
656,11/22/2022 19:49,23.87,,
